config	dir_acc_mean	dir_acc_sd	mse_mean	mse_sd	lam_wmse	lam_afda	lam_delta	lam_balance	lam_deg
full	0.6777796510157632	0.000885104948158133	0.010524186092273643	3.4588618048777414e-05	1.0	1.0	1.0	0.5	2.0
-WMSE	0.6596982213605327	0.0013487313495743058	0.012364550330676138	5.45906446253264e-05	0.0	1.0	1.0	0.5	2.0
-AFDA	0.6599089606339037	0.0005479221107645427	0.012172408821061253	3.5521993413567717e-05	1.0	0.0	1.0	0.5	2.0
-bal	0.6920677737503161	0.003034645536542202	0.010604597709607332	2.399282918001244e-05	1.0	1.0	1.0	0.0	2.0
-Delta	0.6668633566551463	0.0014330270589227312	0.012525874446146189	2.71681463345887e-05	1.0	1.0	0.0	0.5	2.0
-DEG	0.7085475849279271	0.0010536963668549282	0.005045611803264668	2.626791441192461e-06	1.0	1.0	1.0	0.5	0.0
l5=0.5	0.7016774846160331	0.0005900699654387553	0.007107136410195381	1.2105338585873416e-05	1.0	1.0	1.0	0.5	0.5
l5=1	0.6942173143387002	0.0005479221107645982	0.00871520289607967	3.5678773807985495e-06	1.0	1.0	1.0	0.5	1.0
l5=4	0.6603725870353199	0.0007586613841355504	0.012101684526229898	4.946395444373284e-05	1.0	1.0	1.0	0.5	4.0
